timestamp,time_since_login_min,transaction_amount,transaction_type,is_first_transaction,user_tenure_months,predicted_fraud_proba,predicted_fraud,is_fraud
2018-11-01 00:04:52.464,2.174243377080165,2832.3,CASH-OUT,False,1.0134445819493871,0.97,1,1
2018-11-01 00:13:35.616,2.4935432277503047,1426.9,CASH-OUT,False,6.700041070232777,0.09,0,0
2018-11-01 00:22:18.768,1.8074319859375116,1302.0,PAYMENT,False,6.291722753717556,0.01,0,0
2018-11-01 00:31:01.920,2.1334153029435194,1432.1,PAYMENT,True,8.165502920688706,0.0,0,0
2018-11-01 00:39:45.072,1.9878274840503556,1870.3,CASH-OUT,False,8.205202980683636,0.03,0,0
2018-11-01 00:48:28.224,2.978838132744491,1512.5,PAYMENT,False,9.490669826121604,0.02,0,0
2018-11-01 00:57:11.376,1.867206308642363,1639.4,CASH-IN,False,6.979411441739815,0.0,0,0
2018-11-01 01:05:54.528,2.547513863569046,2082.8,CASH-OUT,False,2.7549746799780817,1.0,1,1
2018-11-01 01:14:37.680,1.9399995170280375,1690.7,PAYMENT,False,9.833901509478045,0.02,0,0
2018-11-01 01:23:20.832,2.052715537191712,1240.9,CASH-IN,False,6.421194379579204,0.05,0,0
2018-11-01 01:32:03.984,2.5368446821372665,1016.6,PAYMENT,False,5.947036264383371,0.74,1,1
2018-11-01 01:40:47.136,1.885955721011762,1123.5,PAYMENT,True,7.743517363126095,0.04,0,0
2018-11-01 01:49:30.288,2.152982301996787,1250.6,PAYMENT,False,4.834357397592999,0.95,1,1
2018-11-01 01:58:13.440,1.4284620389113578,1499.6,PAYMENT,False,3.495880259569067,1.0,1,1
2018-11-01 02:06:56.592,1.1300292050835288,1559.5,CASH-OUT,True,7.827411412371243,0.99,1,1
2018-11-01 02:15:39.744,2.4742376656810263,1196.8,PAYMENT,True,5.774765780309799,0.0,0,0
2018-11-01 02:24:22.896,1.892378501025223,1823.0,CASH-IN,False,10.129866589016864,0.05,0,0
2018-11-01 02:33:06.048,1.1674396765102537,1637.1,PAYMENT,True,10.138829154914092,0.0,0,0
2018-11-01 02:41:49.200,2.29354638966197,1456.6,CASH-OUT,False,9.778568413176446,0.0,0,0
2018-11-01 02:50:32.352,0.2436846703823498,1789.2,CASH-OUT,False,8.93267389849933,0.95,1,1
2018-11-01 02:59:15.504,2.176722533805544,1622.0,CASH-OUT,False,6.867884020377529,0.96,1,1
2018-11-01 03:07:58.656,2.2406531716782303,2321.7,CASH-IN,False,8.306632073805252,0.0,0,0
2018-11-01 03:16:41.808,1.933698062533881,2679.2,CASH-OUT,False,9.989443616762587,0.09,0,0
2018-11-01 03:25:24.960,1.8893836059590248,6090.6,PAYMENT,False,1.24491305656684,0.57,0,1
2018-11-01 03:34:08.112,1.517030753982901,2070.7,CASH-IN,True,7.199895777106319,0.0,0,0
2018-11-01 03:42:51.264,1.7040632302058174,5275.5,CASH-OUT,False,8.457201388947068,0.02,0,0
2018-11-01 03:51:34.416,2.0807362513347627,1406.3,,False,6.339845208216161,0.01,0,0
2018-11-01 04:00:17.568,2.036144290260378,1221.4,CASH-OUT,False,9.171509448428862,0.97,1,1
2018-11-01 04:09:00.720,2.119748597192405,2038.3,TRANSFER,False,7.1729243490505965,0.07,0,0
2018-11-01 04:17:43.872,0.4409733161207773,1012.4,PAYMENT,False,8.857645502604417,0.72,1,0
2018-11-01 04:26:27.024,1.4260703886139918,1429.8,PAYMENT,False,9.640924435097462,0.0,0,0
2018-11-01 04:35:10.176,1.8116889596857455,1300.3,CASH-OUT,False,9.30958350574018,0.96,1,0
2018-11-01 04:43:53.328,2.641980711618488,1844.6,CASH-IN,False,9.474579853662362,0.0,0,0
2018-11-01 04:52:36.480,1.8988040811244888,5411.4,CASH-IN,False,9.510039538895136,0.01,0,0
2018-11-01 05:01:19.632,2.158561442811938,1862.7,CASH-OUT,False,10.216161333189955,0.01,0,0
2018-11-01 05:10:02.784,2.3253679651054027,2646.7,CASH-IN,False,5.949502022422014,0.6,0,1
2018-11-01 05:18:45.936,2.297573844697836,1058.6,PAYMENT,False,9.866197089070385,0.7,1,1
2018-11-01 05:27:29.088,1.85004995844928,1657.7,CASH-IN,False,10.059626658346566,0.09,0,0
